ingredient,predicate,disease,pmid,year,pubmed_url,title
gelatin,risk_factor_for,lung cancer,41340210,2025,https://pubmed.ncbi.nlm.nih.gov/41340210/,a nams-based microphysiological system for metastasis and mechanobiology studies.
gelatin,risk_factor_for,breast cancer,41340210,2025,https://pubmed.ncbi.nlm.nih.gov/41340210/,a nams-based microphysiological system for metastasis and mechanobiology studies.
pectin,risk_factor_for,neoplasms,40484582,2025,https://pubmed.ncbi.nlm.nih.gov/40484582/,harnessing pectin nanoparticles for targeted drug delivery in cancer therapy.
pectin,risk_factor_for,neoplasms,40158985,2025,https://pubmed.ncbi.nlm.nih.gov/40158985/,advanced therapeutic strategies using thermo-sensitive chitosan/pectin hydrogel in the treatment of multiple cancers.
gelatin,risk_factor_for,breast cancer,41354014,2025,https://pubmed.ncbi.nlm.nih.gov/41354014/,alteration in gene expression patterns and increased drug resistance in mcf7 breast cancer cells cultured on 3d collagen-based scaffolds.
gelatin,risk_factor_for,lung cancer,41031488,2025,https://pubmed.ncbi.nlm.nih.gov/41031488/,cellulose microfiber-mediated mesoscale architecture promotes the expansion of patient-derived lung cancer organoids while preserving their malignant characteristics.
gelatin,risk_factor_for,lung neoplasms,41031488,2025,https://pubmed.ncbi.nlm.nih.gov/41031488/,cellulose microfiber-mediated mesoscale architecture promotes the expansion of patient-derived lung cancer organoids while preserving their malignant characteristics.
cellulose,risk_factor_for,lung cancer,41031488,2025,https://pubmed.ncbi.nlm.nih.gov/41031488/,cellulose microfiber-mediated mesoscale architecture promotes the expansion of patient-derived lung cancer organoids while preserving their malignant characteristics.
cellulose,risk_factor_for,lung neoplasms,41031488,2025,https://pubmed.ncbi.nlm.nih.gov/41031488/,cellulose microfiber-mediated mesoscale architecture promotes the expansion of patient-derived lung cancer organoids while preserving their malignant characteristics.
pectin,risk_factor_for,breast cancer,41129960,2026,https://pubmed.ncbi.nlm.nih.gov/41129960/,pectin as cancer targeting nano-vehicle and therapeutic - physicochemical-biological perspectives: a review.
pectin,risk_factor_for,neoplasms,41129960,2026,https://pubmed.ncbi.nlm.nih.gov/41129960/,pectin as cancer targeting nano-vehicle and therapeutic - physicochemical-biological perspectives: a review.
xanthan gum,risk_factor_for,colorectal cancer,17331338,2007,https://pubmed.ncbi.nlm.nih.gov/17331338/,compression coated systems for colonic delivery of 5-fluorouracil.
xanthan gum,risk_factor_for,colorectal neoplasms,17331338,2007,https://pubmed.ncbi.nlm.nih.gov/17331338/,compression coated systems for colonic delivery of 5-fluorouracil.
agar,risk_factor_for,lung cancer,41379640,2025,https://pubmed.ncbi.nlm.nih.gov/41379640/,mecp2-dependent cancers can be targeted by epigenetic drugs: a new role for epigenetic cancer therapy.
agar,risk_factor_for,breast cancer,41379640,2025,https://pubmed.ncbi.nlm.nih.gov/41379640/,mecp2-dependent cancers can be targeted by epigenetic drugs: a new role for epigenetic cancer therapy.
agar,risk_factor_for,lung cancer,41331504,2025,https://pubmed.ncbi.nlm.nih.gov/41331504/,reduce the risk of microbial activity and cytotoxicity by adansonia digitata pulp extract grown under the semi arid conditions of sudan.
agar,risk_factor_for,prostate cancer,41331504,2025,https://pubmed.ncbi.nlm.nih.gov/41331504/,reduce the risk of microbial activity and cytotoxicity by adansonia digitata pulp extract grown under the semi arid conditions of sudan.
agar,risk_factor_for,breast cancer,41331504,2025,https://pubmed.ncbi.nlm.nih.gov/41331504/,reduce the risk of microbial activity and cytotoxicity by adansonia digitata pulp extract grown under the semi arid conditions of sudan.
polysorbate 80,risk_factor_for,hypersensitivity,39584101,2024,https://pubmed.ncbi.nlm.nih.gov/39584101/,enhancing docetaxel efficacy and reducing toxicity using biodegradable periodic mesoporous organosilica nanoparticles.
polysorbate 80,risk_factor_for,allergy,35057745,2022,https://pubmed.ncbi.nlm.nih.gov/35057745/,protocol for sars-cov-2 post-vaccine surveillance study in australian adults and children with cancer: an observational study of safety and serological and immunological response to sars-cov-2 vaccination (seroznet).
polysorbate 80,risk_factor_for,neoplasms,35057745,2022,https://pubmed.ncbi.nlm.nih.gov/35057745/,protocol for sars-cov-2 post-vaccine surveillance study in australian adults and children with cancer: an observational study of safety and serological and immunological response to sars-cov-2 vaccination (seroznet).
polysorbate 80,risk_factor_for,prostate cancer,32574928,2020,https://pubmed.ncbi.nlm.nih.gov/32574928/,egfr-targeted immunoliposomes efficiently deliver docetaxel to prostate cancer cells.
polysorbate 80,risk_factor_for,hypersensitivity,32574928,2020,https://pubmed.ncbi.nlm.nih.gov/32574928/,egfr-targeted immunoliposomes efficiently deliver docetaxel to prostate cancer cells.
polysorbate 80,risk_factor_for,prostatic neoplasms,32574928,2020,https://pubmed.ncbi.nlm.nih.gov/32574928/,egfr-targeted immunoliposomes efficiently deliver docetaxel to prostate cancer cells.
red 40,risk_factor_for,colorectal cancer,37719200,2023,https://pubmed.ncbi.nlm.nih.gov/37719200/,"the synthetic food dye, red 40, causes dna damage, causes colonic inflammation, and impacts the microbiome in mice."
red 40,risk_factor_for,hypersensitivity,23026007,2012,https://pubmed.ncbi.nlm.nih.gov/23026007/,toxicology of food dyes.
yellow 5,risk_factor_for,hypersensitivity,23026007,2012,https://pubmed.ncbi.nlm.nih.gov/23026007/,toxicology of food dyes.
yellow 6,risk_factor_for,hypersensitivity,23026007,2012,https://pubmed.ncbi.nlm.nih.gov/23026007/,toxicology of food dyes.
blue 1,risk_factor_for,hypersensitivity,23026007,2012,https://pubmed.ncbi.nlm.nih.gov/23026007/,toxicology of food dyes.
soy lecithin,risk_factor_for,breast neoplasms,35536789,2022,https://pubmed.ncbi.nlm.nih.gov/35536789/,"experimental, molecular docking and molecular dynamic studies of natural products targeting overexpressed receptors in breast cancer."
soy lecithin,risk_factor_for,breast cancer,35536789,2022,https://pubmed.ncbi.nlm.nih.gov/35536789/,"experimental, molecular docking and molecular dynamic studies of natural products targeting overexpressed receptors in breast cancer."
lecithin,risk_factor_for,breast neoplasms,40268017,2025,https://pubmed.ncbi.nlm.nih.gov/40268017/,melatonin-loaded lecithin and chitosan nanoparticles are cytotoxic to 4t1 breast cancer cells and safe in a balb/c mouse model.
lecithin,risk_factor_for,breast cancer,40268017,2025,https://pubmed.ncbi.nlm.nih.gov/40268017/,melatonin-loaded lecithin and chitosan nanoparticles are cytotoxic to 4t1 breast cancer cells and safe in a balb/c mouse model.
xanthan gum,risk_factor_for,diabetes mellitus,38663950,2024,https://pubmed.ncbi.nlm.nih.gov/38663950/,food additive emulsifiers and the risk of type 2 diabetes: analysis of data from the nutrinet-santé prospective cohort study.
xanthan gum,risk_factor_for,type 2,38663950,2024,https://pubmed.ncbi.nlm.nih.gov/38663950/,food additive emulsifiers and the risk of type 2 diabetes: analysis of data from the nutrinet-santé prospective cohort study.
xanthan gum,risk_factor_for,diabetes,38663950,2024,https://pubmed.ncbi.nlm.nih.gov/38663950/,food additive emulsifiers and the risk of type 2 diabetes: analysis of data from the nutrinet-santé prospective cohort study.
xanthan gum,risk_factor_for,type 2 diabetes,38663950,2024,https://pubmed.ncbi.nlm.nih.gov/38663950/,food additive emulsifiers and the risk of type 2 diabetes: analysis of data from the nutrinet-santé prospective cohort study.
bht,risk_factor_for,breast cancer,33256128,2020,https://pubmed.ncbi.nlm.nih.gov/33256128/,exploiting grk2 inhibition as a therapeutic option in experimental cancer treatment: role of p53-induced mitochondrial apoptosis.
bht,risk_factor_for,asthma,31029976,2019,https://pubmed.ncbi.nlm.nih.gov/31029976/,"quantitative identification of and exposure to synthetic phenolic antioxidants, including butylated hydroxytoluene, in urine."
tbhq,risk_factor_for,stomach neoplasms,39032892,2024,https://pubmed.ncbi.nlm.nih.gov/39032892/,ube2c regulates the keap1/nrf2 signaling pathway to promote the growth of gastric cancer by inhibiting autophagy.
tbhq,risk_factor_for,colonic neoplasms,36384455,2022,https://pubmed.ncbi.nlm.nih.gov/36384455/,ribosomal protein rpl5 regulates colon cancer cell proliferation and migration through mapk/erk signaling pathway.
propyl gallate,risk_factor_for,lung cancer,38373208,2024,https://pubmed.ncbi.nlm.nih.gov/38373208/,propyl gallate induces human pulmonary fibroblast cell death through the regulation of bax and caspase-3.
